detector,detector_label,role,statistic,far_target,threshold,first_eligible_day,n_calibration_paths,calibration_far,n_test_valid_paths,n_test_invalid_paths,far_d126,far_d126_lo,far_d126_hi,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,far_d252_lo,far_d252_hi,detect_d252,detect_d252_lo,detect_d252_hi,far_d504,far_d504_lo,far_d504_hi,detect_d504,detect_d504_lo,detect_d504_hi,undetected_at_H,undetected_at_H_lo,undetected_at_H_hi,trunc_mean_detect_days,trunc_mean_detect_days_se,trunc_mean_detect_years,trunc_mean_detect_years_se,median_detect_days,median_detect_note,trunc_mean_valid_days,trunc_mean_valid_days_se,scenario,arm
ewma_gaussian,EWMA Gaussian,forecast scale,Gaussian-calibrated,0.15,-1.4535707722600968,1,0,0.15,5000,5000,0.0256,0.02157299196762935,0.03035540363784086,0.0908,0.08314692350146155,0.09908136377037322,0.0826,0.0752865003877144,0.0905543771960193,0.3006,0.2880477732398053,0.31345838629588346,0.1516,0.14192707512979888,0.161807859585517,0.5676,0.5538214881107262,0.5812747185863021,0.4324,0.41872528141369797,0.4461785118892739,363.619,2.163926099253994,1.4429325396825399,0.008587008330372991,425,,465.5398,1.4407423471579428,gaussian,gaussian_transfer
ewma_student_t,EWMA Student-t (nu=5),forecast scale,Gaussian-calibrated,0.15,-1.706496621992804,1,0,0.15,5000,5000,0.0232,0.019378981328847723,0.02775309924595875,0.0832,0.07586093314234772,0.0911790231990519,0.0792,0.0720336673776816,0.08701243057927849,0.2842,0.27186761704613077,0.296863723113356,0.1518,0.14212154729235207,0.16201308034218573,0.5486,0.5347745209514538,0.5623508584194865,0.4514,0.43764914158051355,0.4652254790485461,369.633,2.1428217282806887,1.466797619047619,0.00850326082651067,448,,466.8504,1.4142162230271207,gaussian,gaussian_transfer
binary_gaussian,Fixed Gaussian,fixed scale,calibrated here,0.05,-1.9602589794329301,1,5000,0.05,5000,5000,0.001,0.00042721349110879964,0.002338953050058211,0.012,0.009334535211612843,0.015414741886762912,0.0136,0.010742591831619502,0.017204228620532072,0.107,0.09873165928086487,0.11587175444795002,0.0474,0.04184958432057469,0.05364533948009102,0.3584,0.3452217035670211,0.37179570962381914,0.6416,0.6282042903761809,0.6547782964329789,438.233,1.545441859245459,1.7390198412698412,0.006132705790656583,,not reached within the 504-day horizon,495.3952,0.6331750354499958,gaussian,per_scenario
binary_student_t,Fixed Student-t (nu=5),fixed scale,calibrated here,0.05,-2.387299393589915,1,5000,0.05,5000,5000,0.001,0.00042721349110879964,0.002338953050058211,0.0114,0.0088098452155523,0.014740353125157526,0.0128,0.010037035568302636,0.01631101320696103,0.1048,0.09661131057076798,0.11359548104660518,0.0474,0.04184958432057469,0.05364533948009102,0.3364,0.3234338525035358,0.34961733957288693,0.6636,0.650382660427113,0.6765661474964642,442.4818,1.5241467050083064,1.755880158730159,0.006048201210350422,,not reached within the 504-day horizon,495.5564,0.6202212981668236,gaussian,per_scenario
trailing_sharpe_252,Trailing 12m Sharpe,fixed scale,calibrated here,0.05,-1.5187780290418438,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0038,0.002434138850885676,0.005927728559389015,0.062,0.05564599630435988,0.06902651059951018,0.0468,0.04128549558366106,0.053010349459338725,0.2994,0.2868631933158819,0.3122448087044751,0.7006,0.6877551912955249,0.7131368066841182,454.638,1.2396695153553872,1.8041190476190476,0.004919323473632489,,not reached within the 504-day horizon,497.1332,0.4967357857454685,gaussian,per_scenario
known_vol_rolling_252,Rolling / fixed sigma_0,fixed scale,calibrated here,0.05,-1.5212128432379501,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.004,0.002590942718784777,0.006170617610711892,0.0618,0.05545620400945182,0.06881660997519626,0.0452,0.03978255839785057,0.051315743291373395,0.2956,0.28311270957655266,0.3084011269785867,0.7044,0.6915988730214133,0.7168872904234473,455.4008,1.233023057790976,1.8071460317460317,0.004892948642027682,,not reached within the 504-day horizon,497.3124,0.4901129292159888,gaussian,per_scenario
ewma_gaussian,EWMA Gaussian,forecast scale,calibrated here,0.05,-2.1652822221606454,1,5000,0.05,5000,5000,0.0018,0.0009472935076811986,0.003417644710373721,0.0094,0.0070765572156887115,0.012476711932801345,0.015,0.011983909566843724,0.01876076131986169,0.099,0.09102696588909821,0.10758873107083762,0.0494,0.04373172063796704,0.055760132354918446,0.341,0.32798691660247997,0.3542572126160483,0.659,0.6457427873839517,0.6720130833975201,441.6552,1.5035758879026149,1.7526,0.005966570983740535,,not reached within the 504-day horizon,494.8682,0.6615861130563413,gaussian,per_scenario
ewma_student_t,EWMA Student-t (nu=5),forecast scale,calibrated here,0.05,-2.5468626259433758,1,5000,0.05,5000,5000,0.0014,0.0006783326019524562,0.0028872197776585087,0.0108,0.008287189765234891,0.014063929817809002,0.0128,0.010037035568302636,0.01631101320696103,0.0954,0.08756516763547541,0.10385605677846481,0.045,0.03959482746331551,0.05110378130668648,0.3172,0.3044449190913604,0.3302357527397525,0.6828,0.6697642472602475,0.6955550809086396,446.955,1.4688688539628132,1.7736309523809524,0.005828844658582592,,not reached within the 504-day horizon,495.857,0.6187349972317389,gaussian,per_scenario
binary_gaussian,Fixed Gaussian,fixed scale,calibrated here,0.15,-1.3197624794941698,1,5000,0.15,5000,5000,0.0276,0.02340906019120257,0.032516264606487405,0.0934,0.08564346098790364,0.10178083423381683,0.0858,0.07835149039041377,0.09388447390087155,0.309,0.2963427077556709,0.32195055438734094,0.1576,0.14776380545447806,0.1679619168374971,0.5774,0.5636537285547117,0.5910274311841935,0.4226,0.40897256881580657,0.43634627144528837,359.336,2.1790825548739985,1.425936507936508,0.00864715299553174,413,,463.748,1.4770532679870736,gaussian,per_scenario
binary_student_t,Fixed Student-t (nu=5),fixed scale,calibrated here,0.15,-1.5973386285518323,1,5000,0.15,5000,5000,0.0284,0.024145272686653944,0.03337882378792394,0.095,0.0871807381378733,0.10344110043762297,0.085,0.07758493466579117,0.09305225794860628,0.3052,0.29258961751805074,0.3181094791597437,0.1626,0.15263168957649123,0.17308635569603334,0.5596,0.5457992248024595,0.5733092651256897,0.4404,0.4266907348743103,0.45420077519754065,363.4682,2.180448345810959,1.442334126984127,0.008652572800837139,429,,463.5728,1.4738500421757175,gaussian,per_scenario
